logo,short_name,name,url,description,head,url_head
pmg.svg,PMG,Project Management Group,https://pmg.fbk.eu/,Organizing and supporting project financing and project management in Digital Society,Matteo Gerosa,https://ict.fbk.eu/people/detail/matteo-gerosa/
ds-lab.svg,DS Lab,Digital Society Laboratory,https://smartcommunitylab.it/,"Digital platforms and advanced digital tools to support research and impact in Digital Society",Raman Kazhamiakin,https://ict.fbk.eu/people/detail/raman-kazhamiakin/
